copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   17.42  232.44556  23.88117  234.51940  23.98500  466.96496   -2.07384
   17.47  238.39147  24.59119  230.28350  24.22300  468.67497    8.10797
   17.52  233.26340  23.30935  233.58310  23.33200  466.84650   -0.31970
   17.57  235.39050  22.08266  231.29260  21.91800  466.68310    4.09790
   17.62  232.47033  22.92360  231.84370  22.90400  464.31403    0.62663
   17.67  230.59584  22.45884  230.01640  22.44300  460.61224    0.57944
   17.72  236.16000  22.81865  229.69170  22.54700  465.85170    6.46830
   17.77  232.96988  23.04455  230.26380  22.93300  463.23368    2.70608
   17.82  231.03408  22.88607  232.32480  22.95200  463.35888   -1.29072
   17.87  233.04008  22.73197  233.59600  22.76500  466.63608   -0.55592
   17.92  230.01573  22.91887  231.67320  23.00200  461.68893   -1.65747
   17.97  234.46468  22.73625  232.60240  22.66500  467.06708    1.86228
   18.02  232.71734  22.79932  230.99980  22.73300  463.71714    1.71754
   18.07  237.26147  22.80188  236.24620  22.76600  473.50767    1.01527
   18.12  229.74489  23.09114  236.07540  23.38200  465.82029   -6.33051
   18.17  235.03687  22.51958  233.38050  22.45700  468.41737    1.65637
   18.22  230.66323  23.08911  232.16430  23.16500  462.82753   -1.50107
   18.27  233.10691  22.61870  229.13880  22.45500  462.24571    3.96811
   18.32  228.11028  22.50453  230.29810  22.60900  458.40838   -2.18782
   18.37  228.59589  22.92993  232.33630  23.10500  460.93219   -3.74041
   18.42  234.81403  22.86860  229.86200  22.66100  464.67603    4.95203
   18.47  228.50413  22.35260  230.73820  22.45900  459.24233   -2.23407
   18.52  230.03804  23.40171  228.93310  23.36000  458.97114    1.10494
   18.57  227.25211  22.12792  231.39330  22.31600  458.64541   -4.14119
   18.62  229.35373  22.75534  228.48800  22.72600  457.84173    0.86573
   18.67  227.71371  22.34015  231.18670  22.50000  458.90041   -3.47299
   18.72  229.55693  22.88321  229.44400  22.88700  459.00093    0.11293
   18.77  230.41590  22.56157  232.29340  22.65200  462.70930   -1.87750
   18.82  228.84041  22.87594  231.32350  22.99500  460.16391   -2.48309
   18.87  227.06642  22.35112  231.56010  22.55600  458.62652   -4.49368
