loop_
_pd_proc_2theta
_pd_proc_2theta_corrected
_pd_proc_intensity_plus_net
_pd_proc_intensity_minus_net
_pd_proc_intensity_bkg_calc
_pd_proc_intensity_plus
_pd_proc_intensity_plus_sigma
_pd_proc_intensity_minus
_pd_proc_intensity_minus_sigma
_pd_proc_excluded
   11.57    14.74       0.00       0.00   48432.08   24084.55922   229.57617   23789.11   228.41    True
   11.62    14.79       0.00       0.00   48377.40   24153.37155   215.53854   24046.88   215.19    True
   11.67    14.84       0.00       0.00   48338.26   24235.63613   225.59222   24480.20   226.69    True
   11.72    14.89       0.00       0.00   48296.67   24147.28105   229.59054   23962.55   228.89    True
   11.77    14.94       0.00       0.00   48263.84   24101.81437   228.26784   24189.28   228.72    True
   11.82    14.99       0.00       0.00   48223.65   23958.11911   231.61987   24673.74   234.78    True
   11.87    15.04       0.00       0.00   48190.05   23904.81477   230.44829   24117.96   231.45    True
   11.92    15.09       0.00       0.00   48151.19   24329.00028   235.20277   24545.46   236.22    True
   11.97    15.14       0.00       0.00   48107.68   23944.38848   230.91626   24151.79   231.90    True
   12.02    15.19       0.00       0.00   48063.23   24046.61992   229.46595   23789.61   228.46    True
   12.07    15.24       0.00       0.00   48026.28   24018.14617    227.3456   23867.12   226.79    True
   12.12    15.29       0.00       0.00   47989.96   23984.15676   241.04999   24089.94   241.61    True
   12.17    15.34       0.00       0.00   47954.28   24274.05485   229.39988   23992.69   228.29    True
   12.22    15.39       0.00       0.00   47919.21   24056.40571   232.99866   23719.30   231.62    True
   12.27    15.44       0.00       0.00   47895.93   23759.03783   227.41894   24131.96   229.09    True
   12.32    15.49       0.00       0.00   47862.02   23913.95125   237.62851   24110.43   238.59    True
   12.37    15.54       0.00       0.00   47828.53   23898.23541   232.84249   23975.36   233.26    True
   12.42    15.59       0.00       0.00   47795.58   24107.60181   234.72524   24238.88   235.38    True
   12.47    15.64       0.00       0.00   47762.84   24200.17164   230.88039   24311.55   231.45    True
   12.52    15.69       0.00       0.00   47730.61   23608.18294   231.83751   24311.97   234.99    True
   12.57    15.74       0.00       0.00   47698.57   24069.19579   231.99273   23820.07   231.00    True
   12.62    15.79       0.00       0.00   47672.51   23374.36194   232.76854   23905.10   235.20    True
   12.67    15.84       0.00       0.00   47643.01   23621.97448   228.00478   23584.09   227.92    True
   12.72    15.89       0.00       0.00   47605.78   23436.02595   230.05026   24025.67   232.71    True
   12.77    15.94       0.00       0.00   47576.13    23793.4663    233.6658   23967.69   234.52    True
   12.82    15.99       0.00       0.00   47546.96   23977.48206   238.42577   23975.23   238.51    True
