  2Theta(x)          dd      Delete          del         dd        I_sum(y)    I_diff(y2)
   14.52000  23496.63371  227.51928  23684.20000  228.42000  47180.83371   -187.56629
   14.57000  23590.54490  233.24235  23564.11000  233.22000  47154.65490     26.43490
   14.62000  23486.00472  227.30885  23600.09000  227.89000  47086.09472   -114.08528
   14.67000  23545.85906  229.41986  23308.13000  228.47000  46853.98906    237.72906
   14.72000  23758.16258  231.07297  23655.66000  230.71000  47413.82258    102.50258
   14.77000  23064.12624  229.40517  23871.56000  233.05000  46935.68624   -807.43376
   14.82000  23279.72780  226.23031  23258.47000  226.22000  46538.19780     21.25780
   14.87000  23573.10448  230.13940  23458.85000  229.73000  47031.95448    114.25448
   14.92000  23144.44732  225.83333  23433.10000  227.17000  46577.54732   -288.65268
   14.97000  23569.04301  230.75728  23462.86000  230.38000  47031.90301    106.18301
   15.02000  23163.63888  232.27581  23445.52000  233.63000  46609.15888   -281.88112
   15.07000  23363.74321  232.76284  23251.02000  232.34000  46614.76321    112.72321
   15.12000  23266.72686  228.26819  23453.30000  229.17000  46720.02686   -186.57314
   15.17000  23756.38917  230.31564  23566.14000  229.58000  47322.52917    190.24917
   15.22000  23269.17331  225.40399  23371.29000  225.93000  46640.46331   -102.11669
   15.27000  23358.66473  226.49596  23689.57000  228.01000  47048.23473   -330.90527
   15.32000  23859.03684  233.78826  23376.27000  231.75000  47235.30684    482.76684
   15.37000  23939.53479  233.41976  23318.71000  230.78000  47258.24479    620.82479
   15.42000  23538.68245  229.21623  23663.81000  229.84000  47202.49245   -125.12755
   15.47000  23524.09430  226.35969  23573.15000  226.66000  47097.24430    -49.05570
   15.52000  23942.55155  231.83602  23733.51000  231.02000  47676.06155    209.04155
   15.57000  23701.22525  233.18970  24045.98000  234.79000  47747.20525   -344.75475
   15.62000  23643.64106  228.94240  23675.15000  229.17000  47318.79106    -31.50894
   15.67000  23795.88354  232.85485  23818.13000  233.04000  47614.01354    -22.24646
   15.72000  23831.08481  196.05271  23974.97000  196.65000  47806.05481   -143.88519
   15.77000  23657.37716  222.57151  23953.46000  223.90000  47610.83716   -296.08284
   15.82000  24681.97897  361.23354  24372.60000  359.33000  49054.57897    309.37897
   15.87000  23922.04658  355.09660  23726.17000  353.93000  47648.21658    195.87658
   15.92000  23922.75899  225.65425  23570.35000  224.25000  47493.10899    352.40899
   15.97000  23541.08443  194.96824  24254.91000  197.67000  47795.99443   -713.82557
   16.02000  23570.15407  231.15645  23811.82000  232.30000  47381.97407   -241.66593
   16.07000  24151.64604  232.95099  23584.49000  230.58000  47736.13604    567.15604
   16.12000  23863.74205  234.77586  23884.82000  234.96000  47748.56205    -21.07795
   16.17000  23646.19700  231.08033  23612.95000  231.02000  47259.14700     33.24700
   16.22000  23783.35527  234.40064  23706.59000  234.16000  47489.94527     76.76527
   16.27000  23908.66006  231.78915  24058.31000  232.52000  47966.97006   -149.64994
