group_hkl orto

  28041  -3  -1  0     124.15        0.76  43.33   164.08   -0.25   0.00    4.44A
  28042  -3  -3  1     108.81        0.65  69.35   164.54  -18.66   0.00    4.43A
  28043  -2   0  0     390.59        0.91  25.79   164.49   -0.04   0.00    4.45A
  28044  -3  -1  1     126.82        0.76  44.80   167.11  -18.26   0.00    4.44A
  28045  -2   0  1       1.23        0.26  26.52   168.20  -18.04   0.00    4.45A
  28046  -4  -1  0     363.30        1.27  63.59  -171.37   -0.27   0.00    7.99A
  28047  -4  -1  1     168.83        0.82  66.88  -167.39  -18.28   0.00    8.00A
  28048  -2   1  0     226.17        0.74  28.91  -166.43    0.15   0.00    8.00A
  28049  -2   1  1     307.07        0.85  29.75  -163.12  -17.84   0.00    8.00A
  28050  -4   0  0     723.79        1.85  60.46  -160.84   -0.08   0.00    8.00A
  28051  -3   1  0     108.54        0.71  43.29  -160.03    0.13   0.00    8.00A
  28052  -1   1  0     186.78        0.53  17.65  -159.40    0.17   0.00    8.00A
  28053  -4   0  1       1.72        0.15  63.27  -157.26  -18.08   0.00    8.00A
  28054  -3   1  1     125.91        0.75  44.72  -157.15  -17.86   0.00    8.00A
  28055  -1   1  1      33.11        0.22  18.12  -154.71  -17.82   0.00    8.00A
  28056  -4   1  0     344.92        1.24  63.52  -144.11    0.11   0.00    8.00A
  28057  -4   1  1     160.55        0.81  66.70  -140.29  -17.88   0.00    8.00A
  28058  -2   2  0     937.71        1.82  37.33  -139.72    0.34   0.00    8.00A
  28059  -3   2  0     188.01        0.99  51.01  -137.30    0.32   0.00    8.00A
  28060  -2   2  1     126.58        0.69  38.46  -136.89  -17.64   0.00    8.00A
  28061  -3   2  1     105.69        0.73  52.86  -134.41  -17.66   0.00    8.00A
  28062  -1   2  0     105.46        0.51  28.39  -130.05    0.36   0.00    8.00A
  28063  -1   2  1     242.72        0.76  29.18  -126.89  -17.62   0.00    8.01A
  28064   0   1  0       2.64        0.08  12.21  -119.01    0.19   0.00    8.02A
  28065  -2   3  0      57.66        0.57  50.26  -115.41    0.53   0.00    8.03A
  28066  -2   3  1     194.54        0.96  52.01  -112.66  -17.44   0.00    8.02A
  28067   0   1  1     160.17        0.40  12.48  -112.73  -17.80   0.00    8.03A
  28068  -3   3  0      32.07        0.43  65.46  -111.59    0.51   0.00    8.03A
  28069  -1   3  0     535.26        1.49  42.12  -108.03    0.55   0.00    8.03A
  28070  -3   3  1     123.92        0.70  68.80  -107.75  -17.47   0.00    8.04A
  28071   0   2  0     475.31        1.00  25.03  -106.19    0.38   0.00    8.04A
  28072  -1   3  1     373.33        1.25  43.40  -105.40  -17.42   0.00    8.04A
  28073   0   2  1       7.19        0.17  25.68  -102.84  -17.60   0.00    8.04A
  28074   0   3  0       1.30        0.17  39.40   -91.82    0.57   0.00    8.10A
  28075   0   3  1     197.25        0.87  40.53   -89.22  -17.40   0.00    8.10A
  28076  -1   4  0     616.84        1.70  60.87   -84.77    0.74   0.00    8.11A
  28077  -1   4  1      96.14        0.67  63.42   -81.63  -17.22   0.00    8.11A
